ID,Year_Birth,Education,Marital_Status, Income ,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,NumWebPurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2
1826,1970,Graduation,Divorced,"$84,835.00 ",6/16/14,0,189,104,379,111,4,1,0,0,0,0,0
1,1961,Graduation,Single,"$57,091.00 ",6/15/14,0,464,5,64,7,7,5,0,0,0,0,1
10476,1958,Graduation,Married,"$67,267.00 ",5/13/14,0,134,11,59,15,3,2,0,0,0,0,0
1386,1967,Graduation,Together,"$32,474.00 ",5/11/14,0,10,0,1,0,1,7,0,0,0,0,0
5371,1989,Graduation,Single,"$21,474.00 ",4/8/14,0,6,16,24,11,3,7,1,0,0,0,0
7348,1958,PhD,Single,"$71,691.00 ",3/17/14,0,336,130,411,240,4,2,0,0,0,0,0
4073,1954,2n Cycle,Married,"$63,564.00 ",1/29/14,0,769,80,252,15,10,6,1,0,0,0,0
1991,1967,Graduation,Together,"$44,931.00 ",1/18/14,0,78,0,11,0,2,5,0,0,0,0,0
4047,1954,PhD,Married,"$65,324.00 ",1/11/14,0,384,0,102,21,6,4,0,0,0,0,0
9477,1954,PhD,Married,"$65,324.00 ",1/11/14,0,384,0,102,21,6,4,0,0,0,0,0
2079,1947,2n Cycle,Married,"$81,044.00 ",12/27/13,0,450,26,535,73,5,1,0,0,0,0,0
5642,1979,Master,Together,"$62,499.00 ",12/9/13,0,140,4,61,0,3,4,0,0,0,0,0
10530,1959,PhD,Widow,"$67,786.00 ",12/7/13,0,431,82,441,80,3,1,0,0,0,0,0
2964,1981,Graduation,Married,"$26,872.00 ",10/16/13,0,3,10,8,3,1,6,0,0,0,0,0
10311,1969,Graduation,Married,"$4,428.00 ",10/5/13,0,16,4,12,2,25,1,0,0,0,0,0
837,1977,Graduation,Married,"$54,809.00 ",9/11/13,0,63,6,57,13,2,4,0,0,0,0,0
10521,1977,Graduation,Married,"$54,809.00 ",9/11/13,0,63,6,57,13,2,4,0,0,0,0,0
10175,1958,PhD,Divorced,"$32,173.00 ",8/1/13,0,18,0,2,0,1,4,0,0,0,0,0
1473,1960,2n Cycle,Single,"$47,823.00 ",7/23/13,0,53,1,5,2,2,8,0,0,0,0,0
